 time, id, lat,  lon,  alt, wifi_network, ssid1, mac1, frequncy1, signal1, ssid2, mac2, frequncy2, signal2, ssid3, mac3, frequncy3, signal3, ssid4, mac4, frequncy4, signal4, ssid5, mac5, frequncy5, signal5, ssid6, mac6, frequncy6, signal6, ssid7, mac7, frequncy7, signal7, ssid8, mac8, frequncy8, signal8, ssid9, mac9, frequncy9, signal9, ssid10, mac10, frequncy10, signal10
28/10/2017 20:20,model=ONEPLUS A3003,32.12114107,34.85336222,35,10,Partner,42501_10131_855317,0,-51,Partner,42501_10131_855317,0,-57,Partner,42501_10131_855317,0,-57,Partner,42501_10131_855317,0,-65,Partner,42501_10131_855317,0,-65,Partner,42501_10192_1276262,0,-67,Partner,42501_10131_855317,0,-69,Partner,42501_10192_1276262,0,-71,YICarCam_f581fb,58:70:c6:f5:81:fb,6,-73,vYou_DDPai_M6Plus,44:2c:05:d2:f4:32,1,-93
28/10/2017 20:21,model=ONEPLUS A3003,32.12235271,34.85422459,37,10,Partner,42501_10131_855317,0,-51,Partner,42501_10131_855317,0,-57,Partner,42501_10131_852857,0,-61,Partner,42501_10131_852857,0,-69,Partner,42501_10131_855317,0,-69,YICarCam_f581fb,58:70:c6:f5:81:fb,6,-73,HUAWEI-37A5,10:b1:f8:d9:37:a5,3,-73,HUAWEI-37A5,10:b1:f8:d9:37:a5,3,-73,HUAWEI-3EA5,10:b1:f8:d9:3e:a5,3,-80,vYou_DDPai_M6Plus,44:2c:05:d2:f4:32,1,-90
28/10/2017 20:22,model=ONEPLUS A3003,32.12590306,34.85314778,55,10,Partner,42501_10131_855317,0,-63,Partner,42501_10131_855317,0,-69,Partner,42501_10131_855317,0,-69,Partner,42501_10131_855308,0,-69,Partner,42501_10131_855315,0,-69,Partner,42501_10131_917453,0,-69,HUAWEI-37A5,10:b1:f8:d9:37:a5,3,-73,HUAWEI-37A5,10:b1:f8:d9:37:a5,3,-73,HUAWEI-37A5,10:b1:f8:d9:37:a5,3,-73,,88:dc:96:59:79:04,40,-89
28/10/2017 20:23,model=ONEPLUS A3003,32.13091051,34.84104361,80,10,Partner,42501_10131_917453,0,-63,Partner,42501_10131_917453,0,-69,Partner,42501_10131_917455,0,-69,Partner,42501_10131_917453,0,-71,Partner,42501_10131_917453,0,-71,Partner,42501_10131_2147483647,0,-71,Partner,42501_10131_917455,0,-73,Partner,42501_10131_917455,0,-75,DansCarCam,58:70:c6:f7:c3:fd,5,-78,NIPPON_6002,08:97:58:33:32:fe,1,-92
28/10/2017 20:24,model=ONEPLUS A3003,32.13814067,34.82284187,60,10,Partner,42501_10131_891006,0,-57,Partner,42501_10131_891006,0,-57,Partner,42501_10131_891006,0,-63,Partner,42501_10131_2147483647,0,-65,Partner,42501_10131_852728,0,-69,Partner,42501_10131_2147483647,0,-69,Partner,42501_10131_852728,0,-71,Partner,42501_10131_852733,0,-73,Partner,42501_10131_852728,0,-75,Ksolomon Outdoor,dc:9f:db:5a:d4:ed,3,-92
28/10/2017 20:25,model=ONEPLUS A3003,32.13845419,34.82106223,60,10,Partner,42501_10131_891006,0,-51,Partner,42501_10131_891006,0,-57,Partner,42501_10131_891004,0,-61,Partner,42501_10131_891004,0,-65,Partner,42501_10131_853053,0,-65,Partner,42501_10131_853053,0,-67,Partner,42501_10131_891004,0,-71,Partner,42501_10131_853053,0,-73,Partner,42501_10131_891004,0,-75,Ksolomon Outdoor,dc:9f:db:5a:d4:ed,3,-92
28/10/2017 20:26,model=ONEPLUS A3003,32.15138138,34.81322129,51,10,Partner,42501_10131_887513,0,-63,Partner,42501_10131_887513,0,-63,Partner,42501_10131_887513,0,-67,Partner,42501_10131_853056,0,-69,Partner,42501_10131_887513,0,-71,Partner,42501_10131_853056,0,-73,Partner,42501_10131_853056,0,-77,Partner,42501_10131_853056,0,-77,Partner,42501_10131_887513,0,-77,Partner,42501_10131_887513,0,-79
28/10/2017 20:27,model=ONEPLUS A3003,32.1539384,34.81417935,50,10,Partner,42501_10131_887514,0,-65,Partner,42501_10131_887514,0,-69,Partner,42501_10131_887514,0,-69,Partner,42501_10131_887514,0,-73,Partner,42501_10131_888980,0,-75,Partner,42501_10131_888980,0,-83,Partner,42501_10131_887514,0,-85,Partner,42501_10131_887514,0,-89,Partner,42501_10131_882994,0,-89,Partner,42501_10131_888980,0,-89
28/10/2017 20:28,model=ONEPLUS A3003,32.16123294,34.81820126,55,10,Partner,42501_10131_888980,0,-69,Partner,42501_10131_888980,0,-77,Partner,42501_10131_882990,0,-79,Partner,42501_10131_861579,0,-79,Partner,42501_10131_882990,0,-81,Partner,42501_10131_888980,0,-83,NIPPON_3422,08:97:58:33:e0:b8,2,-85,hy-pack,00:1d:0f:ea:83:59,6,-87,hy-pack,00:1d:0f:ea:83:59,6,-87,Partner,42501_10131_861579,0,-99
28/10/2017 20:29,model=ONEPLUS A3003,32.16031178,34.81197835,43,4,Partner,42501_10131_861579,0,-71,CarDV-WIFI89e5,44:33:4c:20:80:9c,11,-90,,88:dc:96:17:c1:5c,6,-91,CarDV-WIFI89e5,44:33:4c:20:80:9c,11,-96
28/10/2017 20:30,model=ONEPLUS A3003,32.16174181,34.80946799,38,10,Partner,42501_10131_2147483647,0,-51,Partner,42501_10131_861581,0,-51,Partner,42501_10131_861579,0,-59,Partner,42501_10131_852359,0,-65,,88:dc:96:17:c0:9e,6,-71,,88:dc:96:17:c0:9e,6,-71,EF_Guest,56:d9:e7:d7:c6:14,1,-72,EF_Guest,56:d9:e7:d7:c6:14,1,-72,WiFi01,84:18:3a:38:5c:68,3,-73,Bezeq_WiFi,48:ee:0c:3e:8c:e0,9,-96
28/10/2017 20:31,model=ONEPLUS A3003,32.16357322,34.8105794,53,10,Partner,42501_10131_852359,0,-59,Partner,42501_10131_883001,0,-63,Partner,42501_10131_883001,0,-63,Howazit,1c:b9:c4:0f:44:b8,8,-74,Rhodium-WiFi-guest,72:3a:cb:6a:d0:4c,6,-74,Howazit,1c:b9:c4:0f:44:b8,8,-74,Rhodium-WiFi-guest,72:3a:cb:6a:d0:4c,6,-74,Rhodium-WiFi,70:3a:cb:6a:d0:4f,6,-75,Partner,42501_10131_883001,0,-75,DIRECT-VsWorkCentre 3335,9e:93:4e:78:d6:3e,1,-94
28/10/2017 20:32,model=ONEPLUS A3003,32.16669516,34.80902622,53,10,Rhodium-WiFi-guest,72:3a:cb:6a:d0:4c,6,-74,Rhodium-WiFi,70:3a:cb:6a:d0:4f,6,-75,Pitarohecht,00:02:6f:a6:f1:f3,1,-78,HP-Print-82-LaserJet 200 color,68:94:23:24:b1:82,6,-78,Pitarohecht,00:02:6f:a6:f1:f3,1,-78,Partner,42501_10131_883001,0,-79,CMT-ALap,94:10:3e:a8:34:a0,36,-81,CArgentina,30:b5:c2:bd:55:32,2,-81,KD_Office_2,74:da:38:2e:ab:c9,5,-81,Home.,a0:ab:1b:62:a7:bc,2,-94
2017-10-28 20:30:57,model=SM-G900F,31.82141436,35.25251023,692,7,DIRECT-7A-HP DeskJet 4670 series,a0:8c:fd:3f:8d:7b,1,-37,Cellcom-WiFi,e8:74:e6:ff:f1:41,1,-64,BezeqFree,06:ae:db:c9:04:85,1,-82,National Salsa House,a0:4f:d4:3b:15:41,6,-85,Nadav,14:ae:db:c9:04:85,1,-85,DIRECT-47-HP DeskJet 3830 series,dc:4a:3e:0c:f3:48,1,-89,Pelephone,42503_7331_1006594,0,-113
2017-10-28 20:31:36,model=SM-G900F,31.82135824,35.25247843,706,3,42713305,14:ae:db:56:f0:4d,6,-93,myLGNet3D0F,00:08:52:11:3d:0d,11,-93,SOHO,74:da:38:77:19:58,13,-94
2017-10-28 20:33:39,model=SM-G900F,31.82137365,35.25244568,702,1,barbaleta,a4:52:6f:fe:b3:39,1,-87
