WigleWifi-1.4,appRelease=2.26,model=SM-G900F,release=6.0.1,device=klte,display=MMB29M.G900FXXU1CPI8,board=MSM8974,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
a0:8c:fd:3f:8d:7b,DIRECT-7A-HP DeskJet 4670 series,[WPA2-PSK-CCMP][WPS][ESS],2017-11-09 20:43:31,1,-41,31.82151232,35.25243056,678,12,WIFI
00:78:9e:fa:ab:e0,HOTBOX-0FCE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 20:43:43,1,-89,31.82144442,35.25244454,706,7,WIFI
06:ae:db:c9:04:85,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-09 20:43:55,1,-73,31.82143496,35.25244854,710,8,WIFI
a0:8c:fd:3f:8d:7b,DIRECT-7A-HP DeskJet 4670 series,[WPA2-PSK-CCMP][WPS][ESS],2017-11-09 20:44:01,1,-36,31.82143472,35.25244847,710,24,WIFI
00:78:9e:fb:83:b3,BINA_HOME_OFFICE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 20:44:07,11,-93,31.82143497,35.25244879,710,33,WIFI
14:ae:db:c9:04:85,Nadav,[WPA2-PSK-CCMP][ESS],2017-11-09 20:44:11,1,-73,31.82143484,35.25244891,710,43,WIFI
84:26:15:eb:4f:23,kostanko,[WPA2-PSK-CCMP][ESS][BLE],2017-11-09 20:45:01,1,-90,31.82143433,35.25244974,710,14,WIFI
00:02:a8:9a:7d:fa,U+zone,[WPA2-EAP-CCMP][ESS],2017-11-09 20:54:02,1,-93,31.82141169,35.25244634,716,10,WIFI
8c:59:c3:ec:9d:86,Cellcom-WiFi_4538,[WPA2-PSK-CCMP][ESS][BLE],2017-11-09 20:55:14,1,-64,31.82141101,35.25244618,716,14,WIFI
74:da:38:77:19:58,SOHO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-09 20:55:38,13,-89,31.82141148,35.25244636,716,11,WIFI
00:78:9e:fa:f1:f8,HOTBOX-21,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 20:56:14,5,-93,31.82141193,35.25244613,716,11,WIFI
00:02:a8:9a:7d:f8,,[WPA-PSK-TKIP][ESS],2017-11-09 20:58:44,1,-92,31.82141396,35.25244506,714,14,WIFI
